stack_id,taxonomy,stack_label,tex_label,channels,n_channels,K_Z,ar_F_novol,ar_p_novol,reject_novol,ar_F_volctrl,ar_p_volctrl,reject_volctrl,ar_F_volIV,ar_p_volIV,reject_volIV,volIV_instrument,volIV_fs_F,df1,n_obs,n_endogenous,identified_shares,sw_max,kp_rank_wald,kp_p,relevant_verdict
MP,policy_block,{Mayor x President},\{M$\cdot$P\},MP,1,4,1.31083559513856,0.26323750444815,FALSE,1.31123087076638,0.263086907569959,FALSE,0.434631716053978,0.783707354113009,FALSE,"M,MG",2.82283224477596,4,88694,3,1,14.2494286736734,14286.0291787985,0,TRUE
MG,policy_block,{Mayor x Governor},\{M$\cdot$G\},MG,1,4,3.19229243304199,0.0124649740058587,TRUE,3.1954533540756,0.0123970350613256,TRUE,0.296009731505899,0.880718497137593,FALSE,M,0.494670998927218,4,88694,3,1,10.1703199174753,326.263416520102,1.42167157178172e-71,TRUE
MGP,policy_block,{Mayor x Gov. x President},\{M$\cdot$G$\cdot$P\},MGP,1,4,1.37806254979938,0.23866496972863,FALSE,1.37817568980871,0.238625347847002,FALSE,0.952594025903651,0.432282346149357,FALSE,"M,MG",3.22092874887043,4,88694,3,1,11.6268568738007,25705.8234586598,0,TRUE
G,policy_block,{Governor},\{G\},G,1,4,11.9621111849484,1.02144060518603e-09,TRUE,11.9645136223464,1.01674322257497e-09,TRUE,11.9795386546092,9.87850226029243e-10,TRUE,"M,MG",5.3016748541253,4,88694,3,1,19.3860254462683,623.278986456813,4.53615355689603e-136,TRUE
P,policy_block,{President},\{P\},P,1,4,0.918641684837216,0.451841261429777,FALSE,0.918826391482798,0.451733187859089,FALSE,0.885895361516026,0.471287660951617,FALSE,"M,MG",2.61168329086102,4,88694,3,1,32.6556989507554,47985.0593501934,0,TRUE
GP,policy_block,{Governor x President},\{G$\cdot$P\},GP,1,4,1.97414380150153,0.0954517591739687,FALSE,1.97425787774069,0.0954343858213716,FALSE,1.60027948746141,0.171139405644476,FALSE,"M,MG",2.71037496237306,4,88694,3,1,23.8495739621071,280.192956502035,1.43506826802894e-61,TRUE
M_G,policy_block,"{Mayor, Governor}","\{M, G\}","M,G",2,8,6.51885872538951,1.58405415454851e-08,TRUE,6.51961298032347,1.5798115120788e-08,TRUE,6.45703464467651,1.97328352829496e-08,TRUE,MG,7.93649943237637,8,88694,3,1,11.0304941236559,4967.88106245392,0,TRUE
M_P,policy_block,"{Mayor, President}","\{M, P\}","M,P",2,8,1.16360626026471,0.316930227450663,FALSE,1.16360920157062,0.31692834555632,FALSE,0.9299883715873,0.490003160228645,FALSE,MG,2.97887474579852,8,88694,3,1,16.5757566780136,32578.281888001,0,TRUE
G_P,policy_block,"{Governor, President}","\{G, P\}","G,P",2,8,6.63049071649472,1.06464984131408e-08,TRUE,6.63162747787095,1.06034658238297e-08,TRUE,6.67390316860394,9.12025585556098e-09,TRUE,"M,MG",5.30088069449365,8,88694,3,1,20.1320264395334,29.1625604674776,5.6675052311809e-05,TRUE
M_P_MP,policy_block,"{Mayor, President, Mayor x President}","\{M, P, M$\cdot$P\}","M,P,MP",3,12,1.14199150941692,0.320035432509421,FALSE,1.14195228161588,0.320066755309108,FALSE,1.02580979758707,0.421150716984173,FALSE,MG,3.23940796284222,12,88694,3,1,11.1564239130626,44791.430312485,0,TRUE
G_P_GP,policy_block,"{Governor, President, Governor x President}","\{G, P, G$\cdot$P\}","G,P,GP",3,12,5.23030932399347,7.10252450099527e-09,TRUE,5.23220019035132,7.03471079958994e-09,TRUE,5.1960048074189,8.45195884371463e-09,TRUE,"M,MG",5.41185577876498,12,88694,3,1,18.7243766086453,159.135984881419,4.88547560509122e-29,TRUE
M_G_P_MGP,policy_block,"{Mayor, Governor, President, Mayor x Gov. x President}","\{M, G, P, M$\cdot$G$\cdot$P\}","M,G,P,MGP",4,16,4.20913682770061,2.92122881616038e-08,TRUE,4.20941261846129,2.91608628673027e-08,TRUE,4.12841158238406,4.88690875749652e-08,TRUE,MG,9.67474561787736,16,88694,3,1,11.3135431380096,126.753896069011,2.96775741141761e-20,TRUE
